205,BR Colony,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795115
206,Gularthol,,Sub Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795115
207,Kashimpur,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795115
208,Keimai,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795115
209,New Keiphundai,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795115
210,Bongmun,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795116
211,Borobekra,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795116
212,Champanagar,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795116
213,Chingmun,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795116
214,Jakurdhar,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795116
215,Jiribam Bazar,,Sub Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795116
216,Kh Jaikhan,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795116
217,Lalkhai,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795116
218,Latingkhal,,Branch Post Office,Delivery,North Eastern,Imphal East,Manipur,North Eastern,Nil,Manipur,India,795116
219,Longpi,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795116
220,Ngaphabung,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795116
221,Patpuimun,,Branch Post Office,Delivery,North Eastern,Imphal West,Manipur,North Eastern,Nil,Manipur,India,795116
