Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Monyakshu,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Champang,Nagaland,India,798603
Pessao,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Champang,Nagaland,India,798603
Tobu,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Champang,Nagaland,India,798603
Ukha,,Branch Post Office,Delivery,North Eastern,Mon,Nagaland,North Eastern,Champang,Nagaland,India,798603
Alungkima,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mongkholemba,Nagaland,India,798604
Alungtaki,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mongkholemba,Nagaland,India,798604
Chungtia Yimsen,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mongkholemba,Nagaland,India,798604
Khari,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mongkholemba,Nagaland,India,798604
Longchem,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mongkholemba,Nagaland,India,798604
Longnak,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mongkholemba,Nagaland,India,798604
Mongchen,,Branch Post Office,Delivery,North Eastern,Mokokchung,Nagaland,North Eastern,Mongkholemba,Nagaland,India,798604
